City,Hotel_Name,Number_of_Reviews,Neighborhood,Distance_from_Center,Description,Facilities,Address,Latitude,Longitude,Hotel_URL,City_ID,Clean_Rate
Avignon,ibis Avignon Sud,2261,Avignon,4.2 km from downtown,"The 3-star ibis Avignon Sud is ideally located 1.9 mi from the city center, a few minutes from the Pont d’Avignon and Avignon Convention Center. It features an outdoor swimming pool with a sun terrace and a garden.

The 93 air-conditioned rooms include free WiFi access and satellite TV and Canal + Channel. The modern rooms all have a private bathroom fitted with a bathtub or shower.

A buffet breakfast composed of sweet and savory dishes such as eggs, fruit salad, yogurts and juices is served every day. Pastries baked on site and fresh French Madeleine cakes are also on offer, as well as a hot beverage and a piece of fruit to take away. Outside of regular breakfast hours guests can also enjoy a lighter option, available from 04:00.

Meals and snacks are available from the hotel’s restaurant, and the bar with its terrace is open 24/7.

The hotel is located in the heart of Provence and the Châteauneuf du Pape vineyards. Avignon Center Train Station is 3.1 mi away. Free private parking is possible on site.","Outdoor swimming pool, Free parking, Free Wifi, Family rooms, Restaurant, Non-smoking rooms, Facilities for disabled guests, Room service, Bar, Good Breakfast",Avignon,43.926071,4.849033,https://www.booking.com/hotel/fr/ibis-avignon-sud.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285273&from_sustainable_property_sr=1&from=searchresults,82,7.7
Avignon,Résidence Les Cordeliers,1900,"Avignon City Centre, Avignon",0.6 km from downtown,"This residence is located in the historic center of Avignon and is a 10-minute walk from the Avignon Central Railway Station, Palais des Papes, the main market square and Avignon Old Town. It offers self-catering studios and apartments with security access and free WiFi.

The apartments and studios at Résidence Les Cordeliers have a TV and dining area.Individual kitchenettes are equipped with kitchenware, a microwave and a refrigerator. Each accommodations has its own bathroom with shower.

Guests are just a 15-minute walk from the Pont d'Avignon. Résidence Les Cordeliers is 22 mi from Arles and 27 mi from Nîmes. Secure bike storage is available onsite and public parking is available 164 feet away.

The residence's private parking lot cannot be reserved in advance. Spaces are allocated according to availability on arrival and are subject to a charge of €15 per night.","Private Parking, Free Wifi, Family rooms, Non-smoking rooms, Facilities for disabled guests, Bar, Good Breakfast","Avignon City Centre, Avignon",43.944093,4.81142,https://www.booking.com/hotel/fr/residence-les-cordeliers.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285279&from=searchresults,82,7.8
Avignon,Hôtel Cap Sud Avignon - Réouverture - Ex Kyriad Hôtel,89,Avignon,3.9 km from downtown,"Comfortable Accommodations: Hôtel Cap Sud Avignon in Avignon offers comfortable rooms with air-conditioning, private bathrooms, and free WiFi. Each room includes a work desk, TV, and soundproofing for a pleasant stay.

Dining and Leisure: Guests can enjoy a restaurant serving pizza and cocktails, a bar, and a terrace. The hotel features a garden, outdoor seating area, and a coffee shop, providing ample options for relaxation and dining.

Convenient Location: Located 39 mi from Nimes-Ales-Camargue-Cevennes Airport, the hotel is 3 mi from Avignon Central Station and 3.7 mi from Parc des Expositions Avignon. Nearby attractions include the Papal Palace (4.3 mi) and Pont d'Avignon (3.7 mi).","Free parking, Free Wifi, Restaurant, Non-smoking rooms, Facilities for disabled guests, Garden, Bar, Breakfast",Avignon,43.92757,4.846482,https://www.booking.com/hotel/fr/cap-sud-avignon.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285285&from=searchresults,82,7.3
Avignon,ApartHotel Sainte-Marthe,5979,Avignon,1 km from downtown,"Located opposite the Université Sainte Marthe, just a 15-minute walk from the Palais des Papes and the historical center of Avignon, Apart'Hotel Sainte-Marthe offers self-catering apartments and free WiFi access throughout. Splashworld Waterpark is 14 mi away.

The air-conditioned apartments feature a flat-screen TV, a wardrobe, a fully-equipped kitchenette, and the private bathrooms are complete with a shower or bathtub.

Some apartments have a terrace with views of Avignon, and some apartments have easy access for people with reduced mobility.

A continental buffet breakfast is available onsite daily from 07:30 to 10:00, upon reservation and for an extra charge.

Apart'Hotel Sainte-Marthe is a 5-minute drive from Avignon Train Station, free public parking is possible nearby and private parking is available on site with a supplement.

If you are arriving by foot, you can access the property via boulevard Limbert. If you are arriving by car, the Apart'Hotel can be accessed via rue du Théâtre.","Private Parking, Free Wifi, Family rooms, Fitness center, Non-smoking rooms, Facilities for disabled guests, Good Breakfast",Avignon,43.949895,4.819864,https://www.booking.com/hotel/fr/ra-c-sidence-sainte-marthe.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285291&from=searchresults,82,8.0
Avignon,Hôtel du Palais des Papes,394,"Avignon City Centre, Avignon",200 m from downtown,"The hotel du Palais des Papes is located in Avignon, in front of the Pope Palace. It stands on 3 floors and benefits from a completely pedestrian area. Former Spanish Consulate, now listed historical monument, generations of the same family since 1921 have succeeded in maintaining its walls loaded with history. Free WiFi is provided.

The hotel du Palais des Papes is equipped with comfortable rooms offering a wonderful view on either the Palais des Papes, or on the Horloge Square. Each room offers air conditioning and a private bathroom with a hairdryer and free toiletries.

The hotel's restaurant Maison Gayte/Lutrin, suggests a diverse menu inspired by traditional and Provencal cuisine and is renewed with the seasons.

The property is a 5-minute walk from the Pont d'Avignon and a 15-minute walk from Avignon Central Train Station.","Parking, Free Wifi, Family rooms, Restaurant, Non-smoking rooms, Facilities for disabled guests, Room service, Bar","Avignon City Centre, Avignon",43.950347,4.806207,https://www.booking.com/hotel/fr/du-palais-des-papes-avignon.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285297&from=searchresults,82,6.8
Avignon,Hôtel Cloitre Saint Louis Avignon,3354,"Avignon City Centre, Avignon",0.6 km from downtown,"Set in central Avignon, a 15-minute walk from Palais des Papes and Pont d'Avignon, this 16th-century hotel offers an outdoor rooftop pool with a large sun terrace. Some of the stylish rooms are located in the historic building featuring archways and vaulted ceilings. Free WiFi is available.

Each air-conditioned room includes a flat-screen TV with satellite channels. All rooms are nonsmoking and have a contemporary bathroom with a hairdryer. Some rooms feature a balcony with views of the courtyard.

Restaurant Le Saint Louis serves traditional French cuisine at Hôtel Cloitre Saint Louis. Guests can dine on the terrace in summer and enjoy drinks in the lounge bar. A buffet breakfast is prepared every morning. An in-room breakfast can be enjoyed at extra cost.

Calvet Museum and Avignon Train Station are a 5-minute walk from the hotel and Avignon Airport is a 20-minute drive away. Private parking is available.","Outdoor swimming pool, Private Parking, Free Wifi, Restaurant, Non-smoking rooms, Facilities for disabled guests, Room service, Tea/Coffee Maker in All Rooms, Bar, Good Breakfast","Avignon City Centre, Avignon",43.943808,4.804947,https://www.booking.com/hotel/fr/clarioncloitrestlouis.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285303&from=searchresults,82,7.6
Avignon,Hotel d'Angleterre,2177,"Avignon City Centre, Avignon",0.7 km from downtown,"Located in Avignon’s city center, Hotel d'Angleterre features free WiFi access. There is a 24-hour reception. Avignon Center Train Station is 10 minutes' walk away.

The air-conditioned guestrooms at d'Angleterre come with a flat-screen satellite TV and a private bathroom. They are decorated in a contemporary style.

A continental breakfast is served daily in the lounge area. Newspapers and refreshments are also provided throughout the day.

Pont d'Avignon is 0.7 mi from Hotel d'Angleterre. The nearest airport is Avignon Caumont Airport, 6.2 mi from Hotel d'Angleterre.","Private Parking, Free Wifi, Family rooms, Non-smoking rooms, 24-hour front desk, Very Good Breakfast","Avignon City Centre, Avignon",43.944616,4.800612,https://www.booking.com/hotel/fr/d-angleterre-avignon.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285309&from=searchresults,82,8.0
Avignon,Avignon Grand Hotel,3170,Avignon,0.8 km from downtown,"Avignon Grand Hotel is ideally located just outside the city’s Middle Age walls, just 230 feet from Avignon Central Station. It is a 15-minute walk from Palais des Papes and offers a small rooftop pool. Free WiFi is available throughout.

The nonsmoking rooms and suites come with a seating area, a safe, a flat-screen TV and tea and coffee making facilities. The bathroom facilities include a bath, a shower and free toiletries. Some suites feature a balcony or a terrace and offer views of the property building, the Mediterranean garden or the fortified city of Avignon.

Breakfast is available on a morning, which can be enjoyed on the private garden patio, weather permitting, or in the breakfast room which features large windows. It can also be served in the guest room for an additional charge. In the evening, In the evening, guests can dine in Le Saint Louis restaurant, which is 984 feet away.

Additional facilities at Avignon Grand Hotel include a 24-hour front desk and a bar.

Pont d'Avignon is 0.9 mi away. A public underground car park is available for an additional charge and can be accessed directly from the hotel.","Outdoor swimming pool, Parking on site, Free Wifi, Family rooms, Fitness center, Non-smoking rooms, Facilities for disabled guests, Room service, Bar, Good Breakfast",Avignon,43.942545,4.804362,https://www.booking.com/hotel/fr/avignongrandhotel.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285315&from=searchresults,82,8.1
Avignon,ibis Avignon Centre Gare,1177,Avignon,0.7 km from downtown,"In the heart of Avignon, Ibis Avignon Center Gare is just 164 feet from the Avignon Train Station. It offers a 24-hour front desk, a bar, free WiFi and newspapers. Parking is available at the paid public parking area of the train station, located at the foot of the hotel.

The air-conditioned hotels rooms have a flat-screen TV with cable channels and a wardrobe. They all offer an private bathroom with a shower. Ironing facilities are also available.

A buffet breakfast composed of sweet and savory dishes such as eggs, fruit salad, yogurts and juices is served every day. Pastries baked on site and fresh French Madeleine cakes are also on offer, as well as a hot beverage and a piece of fruit to take away. Outside of regular breakfast hours guests can also enjoy a lighter option, available from 04:00.

There is an à-la-carte restaurant on site and guests can also relax with a drink at the hotel’s bar.

Famous touristic sights like the Palais des Papes or the Pont d’Avignon Saint-Bénezet are within 0.6 mi. Guests can drive 19 mi to The Pont du Gard. Avignon TGV Train Station is 1.9 mi away.","Free Wifi, Family rooms, Non-smoking rooms, Facilities for disabled guests, Room service, 24-hour front desk, Bar, Very Good Breakfast",Avignon,43.942291,4.807274,https://www.booking.com/hotel/fr/ibis-avignon-centre-gare.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285320&from=searchresults,82,7.7
Avignon,Au Saint Roch - Hôtel et Jardin,1478,Avignon,1 km from downtown,"Offering a sun terrace and a courtyard garden with a fountain, Au Saint Roch - Hôtel et Jardin is located in Avignon in the Provence-Alpes-Côte d'Azur Region, a 15-minute walk from the Papal Palace and a 10-minute walk from the train station. Private parking is available onsite, upon request and for an extra charge, and free public parking can also be found nearby.

All rooms are air-conditioned and come with a flat-screen satellite TV and a fan. Each room features a terrace and garden views. The rooms are fitted with a private bathroom equipped with a bath, free toiletries and a hairdryer. Saint Roch Hotel Jardin features free WiFi throughout the property.

A buffet breakfast is available for an extra charge.

Pont d'Avignon is 2.1 mi from Au Saint Roch - Hôtel et Jardin. The nearest airport is Avignon-Provence Airport, 6.2 mi from Au Saint Roch - Hôtel et Jardin.","Private Parking, Free Wifi, Family rooms, Non-smoking rooms, Garden, Very Good Breakfast",Avignon,43.942901,4.798043,https://www.booking.com/hotel/fr/au-saint-roch-et-jardin.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285326&from=searchresults,82,7.9
Avignon,Logis Hotel la Ferme,1726,Avignon,3.3 km from downtown,"The hotel features an outdoor swimming pool and 22 air-conditioned and fully equipped rooms on Barthelasse Island. Based 2.5 mi from the center of Avignon, it is located a 15-minute drive from Avignon Wall and the Palais des Papes.

A TV and free WiFi access are provided in the guest rooms, which are decorated in a Provencal style. The private bathrooms include free toiletries and a hairdryer.

The restaurant opens onto a shaded terrace planted with 100 year-old trees and an impressive wisteria.

Free secure parking is available on site and you can rent bikes from the hotel. Villeneuve-lès-Avignon is 3.1 mi away and Pont du Gard is 19 mi from the hotel. Avignon Train Station is ideally located a 10-minute drive away and the exhibition center is 9.9 mi away.","Outdoor swimming pool, Free parking, Free Wifi, Restaurant, Non-smoking rooms, Garden, Tea/Coffee Maker in All Rooms, Bar, Very Good Breakfast",Avignon,43.975484,4.827437,https://www.booking.com/hotel/fr/logis-de-france-la-ferme.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285332&from=searchresults,82,8.7
Avignon,Hôtel de l'Horloge,1387,"Avignon City Centre, Avignon",150 m from downtown,"This hotel is set in a 19th-century building overlooking the picturesque Place de L'Horloge, in the center of Avignon. It offers stylish rooms with free WiFi access. The hotel is a 2-minute walk from the Papal Palace.

The Hôtel de l'Horloge's rooms are decorated with antique furnishings. They are soundproofed and feature air conditioning, and some also come with private terraces. Three rooms are suitable for guests with reduced mobility. Some of the hotel's rooms feature panoramic views of the Palais des Papes.

The Luberon Regional Natural Park is a 30-minute drive away and the Alpilles mountains are a 55-minute drive away. Avignon - Caumont Airport is 6.2 mi away.","Free Wifi, Family rooms, Non-smoking rooms, Facilities for disabled guests, Room service, 24-hour front desk, Tea/Coffee Maker in All Rooms, Very Good Breakfast","Avignon City Centre, Avignon",43.948967,4.805472,https://www.booking.com/hotel/fr/de-l-horloge.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285338&from=searchresults,82,8.5
Avignon,"The Originals Boutique, Hôtel Danieli, Avignon",1629,"Avignon City Centre, Avignon",200 m from downtown,"The Danieli Hotel is located at the heart of Avignon Old Town, 1312 feet from the Palais des Papes and a 10-minute walk from the Pont d'Avignon bridge. The paintings seen throughout this hotel are by Yvan Osscini.

The hotel offers air-conditioned guest rooms featuring a flat-screen TV, desk and wardrobe. The private bathroom includes a bath or shower and a hairdryer.

Breakfast is offered at this property and a vending machine is available for other snacks. Groceries and restaurants can be found within 492 feet of the hotel.

Avignon Central Train Station is 10 minutes walk away.

We do not have a parking and we recommend the public parking at the Palais des Papes, a 5-minute walk from the hotel, at a price of €17 for 24 hours. The entrance is located outside next to the Avignon bridge.","Free Wifi, Family rooms, Non-smoking rooms, Facilities for disabled guests, 24-hour front desk, Tea/Coffee Maker in All Rooms, Breakfast","Avignon City Centre, Avignon",43.947566,4.80603,https://www.booking.com/hotel/fr/hoteldanieli.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285344&from=searchresults,82,7.1
Avignon,Brit Hotel Avignon Sud Le Calendal,570,Avignon,4.4 km from downtown,"Offering a seasonal heated pool at 28°C, a terrace, a restaurant and a bar, Brit Hotel Avignon Sud Le Calendal is located 3.7 mi from Avignon city center.

All of the rooms at Brit Hotel Avignon Sud Le Calendal feature free WiFi, air-conditioning and a flat-screen satellite TV.

A buffet breakfast is served every morning with local produce including homemade jam, honey and apple juice.The restaurant serves traditional and regional meals using fresh produce.

Offering free parking, the hotel is a 15-minute drive from the Palace of the Popes and a 40-minute drive from the Regional Natural Park of Lubéron.","Outdoor swimming pool, Free parking, Free Wifi, Family rooms, Restaurant, Non-smoking rooms, Facilities for disabled guests, Room service, Bar, Good Breakfast",Avignon,43.925986,4.851636,https://www.booking.com/hotel/fr/brit-hotel-avignon-sud-le-calendal.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285351&from=searchresults,82,7.2
Avignon,COWOOL AVIGNON,427,Avignon,2.6 km from downtown,"Comfortable Accommodations: COWOOL AVIGNON in Avignon offers spacious aparthotel rooms with air-conditioning, kitchenettes, and private bathrooms. Guests enjoy free WiFi, a fitness center, sun terrace, and a lush garden.

 The aparthotel features a fitness room, lounge, games room, and indoor play area. Additional amenities include a coffee shop, outdoor seating, family rooms, and bicycle parking.

 Located 2.5 mi from Avignon Central Station and 3.7 mi from the Papal Palace, the property is near attractions such as Pont d'Avignon and Pont du Gard.

 Highly rated for room comfort, attentive staff, and excellent service support.","Private Parking, Free Wifi, Family rooms, Fitness center, Non-smoking rooms, Facilities for disabled guests, Garden",Avignon,43.932979,4.831907,https://www.booking.com/hotel/fr/cowool-avignon.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285363&from=searchresults,82,8.8
Avignon,Mercure Avignon Centre Palais des Papes,645,"Avignon City Centre, Avignon",150 m from downtown,"In the heart of Avignon, on the main square ""Place de l'Horloge"", 164 feet away from the Popes Palace and 1640 feet from the Pont d'Avignon, Mercure Avignon Center Palais des Papes features free Wi-Fi and air-conditioned rooms with a safe.

The guest rooms all feature a courtesy tray, a refrigerator and a flat-screen TV with satellite channels. The private bathroom is complete with a bathtub or shower and hairdryer.

Every morning guests can enjoy a buffet breakfast served at the hotel. Guests can enjoy a meal in the hotel's restaurant ""Racine"" which is just 2min walk away.

The Rhône river banks are just an 8-minutes walk away and the hotel is a good starting point to go and explore the Provence region. There are public parking facilities just 820 feet away and Avignon Train Station is just 0.6 mi away.","Parking, Free Wifi, Family rooms, Non-smoking rooms, Facilities for disabled guests, Room service, 24-hour front desk, Tea/Coffee Maker in All Rooms, Excellent Breakfast","Avignon City Centre, Avignon",43.949901,4.806477,https://www.booking.com/hotel/fr/mercure-cite-des-papes.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285371&from_sustainable_property_sr=1&from=searchresults,82,7.8
Avignon,Best Western Plus Le Lavarin,2225,Avignon,2.9 km from downtown,"The Best Western Hôtel du Lavarin is located in Avignon, 1.6 mi from the ramparts, the Palais des Papes and the Pont d'Avignon. A fitness room and an indoor swimming pool are also available on site, exclusively for adults.

The hotel offers comfortable, air-conditioned rooms with free Wi-Fi access.

Breakfast and other meals are served with a taste of Provence, in the restaurant, patio or garden. The restaurant is open from Monday to Friday for lunch and dinner and on Saturday evenings. Please note that catering is not available outside the restaurant's opening days and hours.

The hotel's garden features olive and plane trees and a private outdoor swimming pool. Free, secure, enclosed parking is available on site, with 2 electric charging points.

The hotel is a 5-minute bus ride from the TGV train station (bus no. 30) and a 15-minute bus ride from Avignon city center. The bus stop is 164 feet from the hotel. The Gardon gorges, the Pont du Gard and Mont Ventoux are a 30-minute drive away.","2 swimming pools, Free parking, Free Wifi, Family rooms, Restaurant, Non-smoking rooms, Facilities for disabled guests, Tea/Coffee Maker in All Rooms, Bar, Good Breakfast",Avignon,43.922758,4.804295,https://www.booking.com/hotel/fr/hotellelavarin.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285378&from_sustainable_property_sr=1&from=searchresults,82,8.3
Avignon,Hotel de l'île,625,Avignon,1 km from downtown,"Comfortable Accommodations: Hotel de l'île in Avignon offers family rooms with private bathrooms, garden views, and modern amenities including free WiFi, TV, and soundproofing. Each room features a wardrobe, bath, bidet, and shower.

Outdoor Spaces: Guests can relax on the sun terrace or in the garden, enjoying outdoor furniture and free toiletries. The property also includes an outdoor seating area, ideal for leisure and socializing.

 The hotel provides free on-site private parking, housekeeping service, and an outdoor seating area. Additional amenities include a bath, bidet, and shower.

 Located 1.2 mi from the Papal Palace and Pont d'Avignon, the hotel is also close to Avignon Central Station (1.9 mi) and Pont du Gard (16 mi). Boating is available in the surrounding area.","Free parking, Free Wifi, Family rooms, Non-smoking rooms, Garden",Avignon,43.956942,4.802945,https://www.booking.com/hotel/fr/de-l-ile-avignon.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSDNYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALnjf7EBsACAdICJDZmMTI3OWY2LThkYzctNGY5Zi1iMjJhLWM1ZjdiZDg5MDNkMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=4bad8733144701d2&srepoch=1755285388&from=searchresults,82,8.0
